epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,160052,0.67555,1.03312,0.6489,1.17146,0.93445,0.90909,0.93636,0.69199,0.89406,0.86869,0.88558,0.68227,0.86264,1.41841,0.6396,1.57167,0.0014258,0.0014258,0.0014258
31,164721,0.67211,1.04316,0.61529,1.16918,0.85173,0.9284,0.9419,0.68505,0.90755,0.85859,0.9261,0.71101,0.85362,1.2052,0.62368,1.47044,0.001406,0.001406,0.001406
32,168480,0.62233,1.02808,0.57084,1.1274,0.9206,0.89899,0.93918,0.69477,0.9206,0.89899,0.91597,0.73459,0.9238,1.18184,0.6032,1.60939,0.0013862,0.0013862,0.0013862
33,177008,0.64868,0.99652,0.59222,1.14841,0.88967,0.90909,0.94839,0.75438,0.89955,0.91919,0.94498,0.7274,0.76254,1.26675,0.59713,1.39931,0.0013664,0.0013664,0.0013664
34,179606,0.65443,0.98596,0.60772,1.15033,0.91689,0.91919,0.94058,0.71678,0.91453,0.88889,0.92738,0.73136,0.77821,1.209,0.58309,1.44013,0.0013466,0.0013466,0.0013466
35,182828,0.63634,0.95486,0.58136,1.1542,0.96878,0.94024,0.96281,0.73207,0.96779,0.91046,0.95555,0.76469,0.82073,1.13214,0.54336,1.48727,0.0013268,0.0013268,0.0013268
36,186539,0.64162,0.96436,0.59924,1.14419,0.93703,0.90186,0.95085,0.74635,0.92653,0.89176,0.93329,0.74476,0.77723,1.13921,0.5775,1.47278,0.001307,0.001307,0.001307
37,190781,0.63685,1.00739,0.61231,1.12318,0.95018,0.89899,0.95178,0.68456,0.92555,0.87897,0.9189,0.70488,0.86172,1.37031,0.62146,1.51833,0.0012872,0.0012872,0.0012872
38,195091,0.636,1.01343,0.60775,1.14585,0.94705,0.94949,0.95824,0.72253,0.95134,0.88889,0.92983,0.71854,0.82952,1.23199,0.58524,1.53156,0.0012674,0.0012674,0.0012674
39,199484,0.5993,0.96255,0.58868,1.10748,0.95908,0.94702,0.97061,0.76103,0.96252,0.93939,0.95479,0.74642,0.74368,1.13408,0.55282,1.39201,0.0012476,0.0012476,0.0012476
40,203883,0.59745,0.93873,0.57312,1.11296,0.93749,0.93939,0.96545,0.76625,0.93749,0.93939,0.95672,0.76628,0.71896,1.13231,0.50871,1.36578,0.0012278,0.0012278,0.0012278
41,209305,0.61058,0.96414,0.54454,1.12772,0.93567,0.89899,0.95997,0.77197,0.93567,0.89899,0.95291,0.76944,0.66517,1.05647,0.57046,1.30563,0.001208,0.001208,0.001208
42,215098,0.57804,0.94002,0.55588,1.09783,0.86904,0.87144,0.90607,0.68523,0.87894,0.88005,0.91154,0.71957,0.80897,1.05531,0.67764,1.42726,0.0011882,0.0011882,0.0011882
43,219629,0.60889,0.96305,0.59364,1.1324,0.92397,0.88889,0.93464,0.72017,0.91347,0.87879,0.91968,0.69765,0.77706,1.49,0.58781,1.42972,0.0011684,0.0011684,0.0011684
44,223317,0.60687,0.90741,0.57182,1.11142,0.91083,0.94949,0.95471,0.77901,0.91083,0.94949,0.95305,0.77622,0.71584,1.15854,0.47311,1.40014,0.0011486,0.0011486,0.0011486
45,226970,0.60443,0.91841,0.55426,1.11324,0.92086,0.94949,0.96079,0.79584,0.90967,0.93939,0.9324,0.76769,0.66418,1.22793,0.50065,1.28325,0.0011288,0.0011288,0.0011288
46,230605,0.57871,0.88194,0.51649,1.09458,0.98922,0.92929,0.97111,0.78824,0.98922,0.92929,0.94838,0.78023,0.70811,1.13094,0.52633,1.3784,0.001109,0.001109,0.001109
47,234235,0.54903,0.81003,0.49982,1.07336,0.93119,0.95688,0.97083,0.77704,0.92137,0.94688,0.94707,0.77025,0.69621,1.05779,0.50579,1.38821,0.0010892,0.0010892,0.0010892
48,237920,0.55323,0.85788,0.50321,1.07593,0.9687,0.9378,0.97231,0.81336,0.97977,0.90909,0.94693,0.7891,0.64665,1.21151,0.4718,1.29218,0.0010694,0.0010694,0.0010694
49,241609,0.57918,0.85367,0.52476,1.10143,0.92886,0.92327,0.96567,0.79697,0.95932,0.87879,0.96395,0.78778,0.68677,1.05901,0.52574,1.3509,0.0010496,0.0010496,0.0010496
50,245334,0.55183,0.86753,0.52951,1.08388,0.94791,0.92929,0.97078,0.79143,0.93761,0.89899,0.95786,0.80374,0.70666,1.02056,0.51253,1.36497,0.0010298,0.0010298,0.0010298
51,249028,0.55909,0.85104,0.52881,1.07572,0.92064,0.93743,0.93241,0.74491,0.92064,0.93743,0.93798,0.77325,0.76686,1.04063,0.50878,1.42221,0.00101,0.00101,0.00101
52,251957,0.53737,0.82111,0.49655,1.07883,0.9121,0.91919,0.95768,0.77793,0.90161,0.90909,0.94483,0.77414,0.69463,1.16208,0.53787,1.34076,0.0009902,0.0009902,0.0009902
53,254912,0.56348,0.89166,0.49795,1.10098,0.95413,0.94949,0.96958,0.82293,0.95413,0.94949,0.96958,0.81608,0.59685,1.00202,0.45642,1.24807,0.0009704,0.0009704,0.0009704
54,258774,0.54372,0.84276,0.49456,1.07391,0.94703,0.91919,0.95168,0.80141,0.94703,0.91919,0.94879,0.79776,0.64841,1.0377,0.525,1.27477,0.0009506,0.0009506,0.0009506
55,262467,0.53477,0.85231,0.49695,1.07572,0.91116,0.94949,0.94372,0.77924,0.92342,0.89899,0.92644,0.77323,0.68309,1.05908,0.4878,1.34795,0.0009308,0.0009308,0.0009308
56,265728,0.51665,0.81886,0.46659,1.04755,0.91862,0.93939,0.95517,0.79956,0.91862,0.93939,0.94257,0.78417,0.57216,1.02437,0.50282,1.26664,0.000911,0.000911,0.000911
57,270617,0.5332,0.8207,0.49878,1.07035,0.95789,0.9191,0.96004,0.76981,0.94703,0.90295,0.94478,0.78767,0.67693,1.0733,0.491,1.321,0.0008912,0.0008912,0.0008912
58,273844,0.51496,0.81993,0.48845,1.05087,0.94673,0.93939,0.96899,0.79637,0.94751,0.91167,0.95886,0.79475,0.66212,1.02852,0.4733,1.35842,0.0008714,0.0008714,0.0008714
59,277652,0.51697,0.7886,0.47278,1.05066,0.94715,0.92929,0.95969,0.80205,0.94715,0.92929,0.95646,0.80291,0.62846,0.93775,0.48455,1.30669,0.0008516,0.0008516,0.0008516
60,281521,0.4918,0.73681,0.45367,1.04436,0.89248,0.91919,0.93445,0.72583,0.92164,0.87879,0.90601,0.73962,0.82352,1.25046,0.58715,1.48341,0.0008318,0.0008318,0.0008318
61,285429,0.51246,0.78631,0.47053,1.04967,0.93198,0.96886,0.96613,0.79392,0.91256,0.94874,0.94925,0.81503,0.62592,1.00596,0.5078,1.30639,0.000812,0.000812,0.000812
62,289399,0.49309,0.77613,0.45307,1.05376,0.97935,0.92929,0.97316,0.81028,0.98375,0.92929,0.96333,0.80155,0.63418,1.01248,0.46954,1.28253,0.0007922,0.0007922,0.0007922
63,293914,0.50161,0.77902,0.46849,1.05292,0.96827,0.92489,0.96394,0.82761,0.96827,0.92489,0.9598,0.81632,0.61181,1.0017,0.45327,1.24605,0.0007724,0.0007724,0.0007724
64,299043,0.49335,0.75853,0.45569,1.04184,0.94827,0.9259,0.95861,0.8005,0.94666,0.90909,0.94528,0.79357,0.60651,1.01399,0.47009,1.26738,0.0007526,0.0007526,0.0007526
65,302451,0.50275,0.74704,0.45398,1.04814,0.94888,0.93939,0.94953,0.78941,0.94888,0.93939,0.94664,0.79823,0.64177,1.00491,0.44243,1.28956,0.0007328,0.0007328,0.0007328
66,305313,0.49933,0.76146,0.43951,1.04719,0.94981,0.9596,0.97215,0.82414,0.92973,0.93939,0.93584,0.80823,0.59851,1.05232,0.42959,1.21426,0.000713,0.000713,0.000713
67,308196,0.48652,0.73323,0.43313,1.04515,0.9531,0.92929,0.97197,0.82055,0.94435,0.91919,0.95753,0.806,0.63728,1.06096,0.4499,1.25414,0.0006932,0.0006932,0.0006932
68,311437,0.47841,0.74045,0.43869,1.03525,0.96591,0.9596,0.97486,0.83305,0.96591,0.9596,0.96726,0.82516,0.57924,1.09115,0.40449,1.23784,0.0006734,0.0006734,0.0006734
69,315406,0.4604,0.71664,0.42463,1.01631,0.97487,0.92929,0.96934,0.81969,0.98445,0.93939,0.96643,0.82333,0.60871,1.10078,0.42416,1.25703,0.0006536,0.0006536,0.0006536
